candidate_id,cert_order,name,issuer,year
CAND_0000004,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000004,2,Scrum Master Certified,Scrum Alliance,2025
CAND_0000008,1,Six Sigma Green Belt,ASQ,2018
CAND_0000011,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000011,2,Six Sigma Green Belt,ASQ,2021
CAND_0000017,1,Six Sigma Green Belt,ASQ,2018
CAND_0000017,2,Scrum Master Certified,Scrum Alliance,2022
CAND_0000020,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000022,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000025,1,Six Sigma Green Belt,ASQ,2018
CAND_0000025,2,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000028,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000033,1,Six Sigma Green Belt,ASQ,2019
CAND_0000035,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000035,2,Six Sigma Green Belt,ASQ,2020
CAND_0000037,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000042,1,Six Sigma Green Belt,ASQ,2022
CAND_0000042,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0000045,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000045,2,Six Sigma Green Belt,ASQ,2024
CAND_0000048,1,Scrum Master Certified,Scrum Alliance,2023
CAND_0000048,2,Six Sigma Green Belt,ASQ,2024
CAND_0000052,1,Six Sigma Green Belt,ASQ,2025
CAND_0000052,2,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000055,1,Six Sigma Green Belt,ASQ,2018
CAND_0000064,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000068,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000072,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000082,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000082,2,Six Sigma Green Belt,ASQ,2024
CAND_0000083,1,Six Sigma Green Belt,ASQ,2023
CAND_0000084,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000085,1,Scrum Master Certified,Scrum Alliance,2020
CAND_0000085,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000096,1,Six Sigma Green Belt,ASQ,2025
CAND_0000096,2,Scrum Master Certified,Scrum Alliance,2025
CAND_0000097,1,Scrum Master Certified,Scrum Alliance,2020
