candidate_id,skill_name,assessment_score
CAND_0000001,NLP,38.8
CAND_0000001,Image Classification,64.8
CAND_0000001,Fine-tuning LLMs,41.6
CAND_0000001,Speech Recognition,53.7
CAND_0000010,GANs,53.3
CAND_0000010,OpenCV,65.5
CAND_0000010,Prompt Engineering,73.8
CAND_0000010,Object Detection,81.3
CAND_0000011,Recommendation Systems,29.8
CAND_0000014,FAISS,77.6
CAND_0000020,Weights & Biases,53.7
CAND_0000024,Forecasting,65.1
CAND_0000025,LangChain,40.0
CAND_0000027,YOLO,60.2
CAND_0000027,PEFT,50.5
CAND_0000027,Data Science,35.1
CAND_0000031,MLflow,75.1
CAND_0000031,FAISS,68.4
CAND_0000031,Pinecone,53.6
CAND_0000031,Image Classification,57.1
CAND_0000050,Feature Engineering,60.8
CAND_0000056,BentoML,74.5
CAND_0000056,Image Classification,30.2
CAND_0000058,Feature Engineering,39.7
CAND_0000062,GANs,73.0
CAND_0000062,MLOps,73.4
CAND_0000065,Forecasting,64.3
CAND_0000066,MLOps,50.1
CAND_0000067,Weights & Biases,36.0
CAND_0000068,Weights & Biases,37.5
CAND_0000071,Qdrant,54.4
CAND_0000071,CNN,54.8
CAND_0000073,Kubeflow,57.6
CAND_0000075,Machine Learning,74.0
CAND_0000077,Reinforcement Learning,69.8
CAND_0000088,Kubeflow,44.0
CAND_0000088,Sentence Transformers,73.1
CAND_0000088,OpenCV,47.4
CAND_0000090,MLOps,68.6
CAND_0000094,Weights & Biases,51.7
CAND_0000099,Haystack,64.5
CAND_0000099,Weights & Biases,61.2
CAND_0000099,Hugging Face Transformers,64.3
CAND_0000110,Semantic Search,65.2
CAND_0000112,Speech Recognition,62.9
CAND_0000112,GANs,64.2
CAND_0000116,LoRA,47.0
CAND_0000116,GANs,48.1
CAND_0000123,BentoML,27.8
CAND_0000134,Reinforcement Learning,38.1
CAND_0000134,YOLO,68.9
CAND_0000136,Haystack,73.9
CAND_0000143,Object Detection,41.0
CAND_0000152,Diffusion Models,70.6
CAND_0000155,Milvus,47.1
CAND_0000155,Time Series,65.0
CAND_0000155,Statistical Modeling,54.4
CAND_0000158,Elasticsearch,76.0
CAND_0000164,Forecasting,30.0
CAND_0000165,BentoML,80.3
CAND_0000165,Information Retrieval,84.7
CAND_0000165,Vector Search,73.8
CAND_0000165,YOLO,72.7
CAND_0000175,Image Classification,55.3
CAND_0000176,Speech Recognition,35.3
CAND_0000179,YOLO,50.1
CAND_0000184,Learning to Rank,77.7
CAND_0000184,MLOps,67.7
CAND_0000184,ASR,53.6
CAND_0000184,TensorFlow,73.5
CAND_0000184,YOLO,68.6
CAND_0000185,PEFT,69.9
CAND_0000185,MLOps,33.9
CAND_0000187,Forecasting,53.5
CAND_0000190,Feature Engineering,72.2
CAND_0000196,Time Series,35.9
CAND_0000198,Information Retrieval,75.5
CAND_0000200,Vector Search,52.6
CAND_0000202,LLMs,39.3
CAND_0000202,Forecasting,74.4
CAND_0000202,Image Classification,68.4
CAND_0000206,Feature Engineering,33.3
CAND_0000211,Object Detection,37.5
CAND_0000215,Kubeflow,30.7
CAND_0000217,Speech Recognition,32.5
CAND_0000218,GANs,66.1
CAND_0000220,Kubeflow,48.9
CAND_0000225,FAISS,54.5
CAND_0000230,MLOps,41.5
CAND_0000234,Elasticsearch,35.9
CAND_0000238,LangChain,33.2
CAND_0000242,Object Detection,21.1
CAND_0000243,FAISS,33.1
CAND_0000243,Object Detection,42.3
CAND_0000249,Vector Search,42.6
CAND_0000250,ASR,58.6
